(Red-shafted Flicker) Northern Flicker,131,66,75,65,81,94,121,153,111,123,76,55,67
(unid. Red/Yellow Shafted) Northern Flicker,4,0,0,3,6,0,0,6,0,0,0,0,0
Gilded Flicker,91,135,45,117,112,101,102,78,91,101,88,48,27
Northern Beardless-Tyrannulet,1,3,7,3,5,5,3,3,3,7,3,4,6
Olive-sided Flycatcher,3,9,9,10,11,26,12,14,13,9,4,3,3
Greater Pewee,15,3,0,0,1,2,0,0,2,4,2,5,3
Western Wood-Pewee,136,176,94,131,84,181,211,189,139,186,143,97,60
Willow Flycatcher,0,7,5,4,12,0,0,2,2,0,0,5,2
Hammond's Flycatcher,0,1,0,0,0,0,0,0,0,0,0,0,0
Gray Flycatcher,11,24,13,24,14,34,45,13,19,33,38,12,20
Dusky Flycatcher,0,10,0,0,1,6,6,0,6,2,5,0,0
Cordilleran Flycatcher,125,135,70,133,106,137,143,123,144,120,38,34,28
Black Phoebe,12,10,8,4,8,17,12,9,6,14,12,11,7
Say's Phoebe,61,67,43,63,57,115,94,68,68,129,69,89,46
Vermilion Flycatcher,13,21,15,12,11,15,11,23,24,19,34,18,12
Dusky-capped Flycatcher,45,38,52,35,43,67,59,49,42,54,22,16,9
Ash-throated Flycatcher,1073,979,736,764,809,835,828,749,740,1127,817,526,434
Brown-crested Flycatcher,245,287,206,429,238,256,359,281,287,283,321,218,89
Sulphur-bellied Flycatcher,7,9,2,4,3,4,0,1,2,4,1,0,0
Tropical Kingbird,0,1,0,0,0,0,0,0,0,0,0,0,0
Cassin's Kingbird,260,214,147,213,142,279,243,209,232,232,151,107,109
Thick-billed Kingbird,4,2,3,2,2,1,2,3,1,3,0,0,0
Western Kingbird,311,392,341,311,210,350,350,273,296,233,265,240,105
Loggerhead Shrike,74,83,35,81,66,163,106,65,76,100,71,61,60
Bell's Vireo,102,128,117,111,124,120,124,102,171,190,196,149,60
Gray Vireo,31,24,26,33,36,51,38,45,55,51,62,28,18
Plumbeous Vireo,84,116,83,72,85,152,111,134,128,102,110,78,34
Hutton's Vireo,19,23,17,8,12,14,18,10,14,23,7,6,3
Warbling Vireo,162,163,52,174,183,80,214,154,174,199,119,117,104
Gray Jay,0,0,1,0,0,0,3,0,0,1,0,0,0
Pinyon Jay,172,218,42,41,56,95,75,24,49,66,104,48,86
Steller's Jay,99,109,50,82,60,82,129,134,91,155,74,34,56
Western Scrub-Jay,109,102,67,58,65,70,64,56,51,69,69,58,29
Mexican Jay,142,141,121,236,126,299,236,242,225,295,49,24,52
Clark's Nutcracker,9,8,2,3,1,5,4,17,14,7,2,2,2
American Crow,2,39,37,46,38,89,50,70,58,60,8,17,16
Chihuahuan Raven,14,40,51,39,31,26,45,36,25,23,33,15,0
Common Raven,378,458,252,326,270,372,583,440,394,487,490,431,270
unid. Raven,0,4,12,2,0,0,0,0,0,0,0,12,5
Horned Lark,450,449,367,473,373,1037,878,593,475,741,412,623,386
Purple Martin,40,48,31,43,48,47,49,43,57,35,104,56,46
Tree Swallow,11,10,0,0,0,1,1,0,5,1,0,0,0
Violet-green Swallow,199,207,113,248,225,268,425,307,248,381,140,189,133
Northern Rough-winged Swallow,56,57,96,39,54,39,28,86,80,59,135,81,50
